Style,Price,Rating,Size,Season,NeckLine,SleeveLength,WaistLine,Material,FabricType,Decoration,PatternType,Recommendation
casual,average,0.0,S,winter,slash-neck,halfsleeve,natural,nylon,broadcloth,unknown,unknown,0
casual,average,4.2,S,winter,v-neck,sleeveless,empire,other,chiffon,hollowout,patchwork,0
novelty,average,0.0,free,summer,o-neck,full,natural,cotton,sattin,hollowout,solid,0
casual,low,4.3,free,summer,backless,sleeveless,empire,chiffonfabric,chiffon,crystal,unknown,0
casual,average,3.7,M,summer,boat-neck,sleeveless,natural,linen,unknown,unknown,unknown,0
casual,average,5.0,free,winter,o-neck,sleeveless,natural,polyster,broadcloth,lace,unknown,1
sexy,low,5.0,free,spring,v-neck,sleeveless,empire,unknown,chiffon,unknown,unknown,0
cute,low,0.0,free,winter,o-neck,sleeveless,natural,unknown,chiffon,unknown,unknown,0
vintage,average,4.8,M,summer,v-neck,full,natural,rayon,poplin,unknown,unknown,1
bohemian,average,4.8,L,winter,o-neck,sleeveless,natural,polyster,chiffon,unknown,solid,0
bohemian,average,0.0,free,spring,o-neck,sleeveless,natural,rayon,chiffon,unknown,striped,1
sexy,average,4.5,M,summer,bowneck,sleeveless,unknown,cotton,chiffon,unknown,solid,0
novelty,medium,4.2,M,winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,animal,1
casual,low,5.0,free,spring,v-neck,full,natural,cotton,unknown,unknown,solid,1
casual,average,5.0,L,winter,o-neck,threequarter,natural,polyster,unknown,applique,solid,0
casual,low,4.8,M,winter,v-neck,sleeveless,natural,polyster,unknown,unknown,print,0
bohemian,low,5.0,free,spring,o-neck,short,natural,nylon,jersey,sashes,print,1
casual,low,5.0,free,spring,bowneck,sleeveless,natural,silk,chiffon,applique,print,0
casual,low,5.0,M,spring,o-neck,sleeevless,natural,chiffonfabric,chiffon,unknown,solid,1
cute,average,4.3,M,summer,unknown,unknown,natural,cotton,chiffon,unknown,solid,0
novelty,average,0.0,free,winter,o-neck,short,natural,polyster,broadcloth,lace,unknown,1
cute,low,0.0,L,spring,o-neck,sleeveless,empire,unknown,unknown,unknown,unknown,1
sexy,low,4.8,free,spring,slash-neck,sleeveless,natural,cotton,broadcloth,sequined,solid,0
sexy,low,4.8,free,summer,slash-neck,sleeveless,empire,silk,unknown,lace,solid,0
casual,low,4.4,M,winter,o-neck,sleeveless,natural,polyster,unknown,unknown,solid,0
casual,average,4.5,M,winter,o-neck,sleeveless,natural,polyster,chiffon,ruched,striped,0
casual,low,4.7,S,summer,o-neck,full,natural,cotton,unknown,unknown,patchwork,0
casual,low,4.4,free,spring,o-neck,sleeveless,natural,polyster,unknown,sashes,print,0
work,average,4.9,M,winter,slash-neck,short,natural,polyster,broadcloth,ruffles,solid,0
cute,medium,4.6,free,spring,o-neck,short,natural,chiffonfabric,unknown,hollowout,solid,1
casual,low,4.7,free,spring,o-neck,halfsleeve,natural,silk,chiffon,sashes,print,0
casual,low,4.7,M,winter,o-neck,full,empire,polyster,chiffon,unknown,print,1
casual,average,4.8,M,spring,o-neck,sleeveless,natural,cotton,chiffon,hollowout,print,0
sexy,low,4.8,L,summer,o-neck,sleeveless,natural,cotton,unknown,unknown,solid,1
casual,average,4.3,M,spring,o-neck,halfsleeve,unknown,unknown,unknown,unknown,unknown,1
casual,average,4.7,XL,winter,v-neck,short,empire,silk,unknown,unknown,print,0
casual,low,0.0,L,winter,v-neck,full,unknown,unknown,unknown,unknown,solid,0
sexy,average,4.7,M,automn,slash-neck,sleeveless,natural,nylon,unknown,rivet,solid,0
casual,low,4.7,free,winter,o-neck,sleeveless,natural,unknown,unknown,unknown,unknown,1
casual,high,0.0,L,winter,v-neck,full,unknown,polyster,unknown,unknown,solid,0
casual,low,4.7,L,summer,o-neck,sleeveless,natural,silk,worsted,lace,patchwork,0
casual,average,4.7,free,summer,v-neck,full,natural,cotton,unknown,sashes,solid,0
casual,average,0.0,free,winter,v-neck,full,unknown,cashmere,unknown,unknown,solid,1
casual,low,4.7,free,summer,o-neck,capsleeves,natural,chiffonfabric,chiffon,unknown,print,1
casual,average,4.7,M,summer,o-neck,threequarter,unknown,chiffonfabric,chiffon,ruched,solid,0
sexy,low,4.5,free,summer,slash-neck,sleeveless,unknown,polyster,Corduroy,unknown,unknown,0
vintage,low,4.0,free,summer,turndowncollor,short,natural,cotton,wollen,hollowout,solid,0
sexy,low,4.7,free,summer,v-neck,sleeveless,unknown,unknown,unknown,unknown,unknown,0
bohemian,low,5.0,free,summer,o-neck,sleeveless,empire,cotton,broadcloth,tassel,print,1
casual,low,4.7,S,winter,o-neck,sleeevless,natural,knitting,unknown,lace,solid,0
sexy,average,4.5,S,winter,v-neck,sleeveless,unknown,polyster,unknown,unknown,unknown,0
cute,average,4.7,M,summer,o-neck,sleeveless,natural,chiffonfabric,unknown,sashes,splice,0
vintage,low,0.0,free,summer,o-neck,sleeveless,natural,cotton,batik,unknown,print,1
casual,average,4.1,L,winter,o-neck,sleeveless,natural,polyster,unknown,unknown,unknown,1
casual,average,4.2,M,winter,v-neck,full,empire,polyster,unknown,lace,patchwork,1
brief,average,4.8,free,winter,v-neck,halfsleeve,natural,polyster,broadcloth,unknown,solid,0
brief,average,4.9,free,winter,o-neck,sleeveless,natural,unknown,unknown,unknown,solid,0
sexy,average,4.8,S,winter,v-neck,sleeveless,empire,polyster,chiffon,lace,solid,0
casual,average,4.7,L,winter,o-neck,sleeveless,natural,polyster,chiffon,unknown,patchwork,0
vintage,average,4.7,M,summer,v-neck,short,natural,rayon,unknown,beading,print,0
casual,average,4.8,free,summer,o-neck,sleeveless,natural,cotton,chiffon,sashes,solid,0
sexy,low,4.7,M,winter,v-neck,sleeveless,natural,polyster,unknown,unknown,striped,0
casual,average,5.0,S,spring,turndowncollor,full,empire,cotton,worsted,unknown,solid,0
casual,low,1.0,M,spring,o-neck,halfsleeve,unknown,unknown,chiffon,unknown,unknown,0
sexy,average,4.1,free,summer,v-neck,sleeveless,natural,cotton,unknown,lace,unknown,1
casual,low,4.0,free,summer,v-neck,sleeveless,natural,cotton,broadcloth,hollowout,print,0
work,average,4.7,M,spring,v-neck,sleeveless,unknown,unknown,unknown,unknown,unknown,1
cute,average,4.6,free,spring,v-neck,full,natural,cotton,chiffon,unknown,solid,1
casual,low,5.0,M,spring,o-neck,sleeveless,natural,spandex,jersey,unknown,print,0
casual,average,4.7,M,automn,v-neck,sleeveless,natural,unknown,chiffon,unknown,striped,1
casual,low,4.6,free,winter,o-neck,full,natural,polyster,unknown,applique,solid,0
casual,average,4.5,L,summer,o-neck,short,natural,cotton,jersey,pockets,solid,0
cute,average,4.6,M,automn,o-neck,threequarter,natural,silk,chiffon,sashes,print,0
casual,low,4.6,free,automn,o-neck,halfsleeve,natural,chiffonfabric,chiffon,unknown,leapord,1
casual,low,4.7,L,summer,unknown,sleeveless,unknown,cotton,unknown,unknown,solid,1
sexy,low,0.0,L,summer,o-neck,sleeveless,empire,sill,unknown,unknown,striped,0
bohemian,average,4.0,free,winter,o-neck,sleeveless,natural,polyster,chiffon,ruffles,striped,0
casual,low,4.7,free,summer,o-neck,full,natural,cotton,unknown,unknown,solid,1
work,average,0.0,M,summer,v-neck,sleeveless,natural,cotton,worsted,unknown,solid,1
bohemian,average,4.1,free,summer,o-neck,threequarter,unknown,unknown,unknown,hollowout,unknown,0
casual,average,0.0,M,spring,o-neck,halfsleeve,natural,unknown,unknown,lace,unknown,0
brief,low,4.6,M,summer,o-neck,short,natural,cotton,unknown,unknown,animal,0
cute,low,0.0,free,spring,v-neck,sleeveless,empire,chiffonfabric,chiffon,unknown,unknown,1
casual,average,5.0,M,spring,o-neck,threequarter,unknown,spandex,unknown,unknown,unknown,0
casual,low,5.0,free,winter,o-neck,full,natural,wool,unknown,applique,solid,0
vintage,average,4.5,L,winter,o-neck,short,empire,unknown,unknown,sequined,patchwork,1
casual,average,4.5,free,summer,o-neck,short,natural,polyster,unknown,unknown,solid,0
bohemian,low,4.4,L,summer,bowneck,short,natural,cotton,unknown,unknown,dot,0
casual,high,0.0,L,winter,v-neck,threequarter,natural,polyster,unknown,ruffles,solid,1
casual,average,4.8,free,winter,o-neck,sleeveless,unknown,polyster,unknown,sashes,solid,0
brief,low,4.7,M,winter,o-neck,full,natural,cotton,unknown,unknown,patchwork,0
casual,medium,0.0,free,winter,bowneck,full,unknown,cashmere,knitted,unknown,solid,1
casual,average,4.7,M,winter,o-neck,short,empire,polyster,shiffon,unknown,animal,0
party,average,0.0,M,summer,o-neck,full,natural,cotton,unknown,unknown,patchwork,1
bohemian,average,4.8,S,summer,v-neck,short,natural,cotton,unknown,unknown,solid,0
sexy,average,4.9,free,summer,sqare-collor,sleeveless,natural,polyster,unknown,sashes,print,0
casual,average,3.0,M,spring,turndowncollor,short,empire,polyster,unknown,sashes,patchwork,0
casual,low,4.7,L,automn,o-neck,short,natural,polyster,shiffon,unknown,patchwork,1
casual,average,4.3,M,automn,o-neck,sleeveless,natural,polyster,unknown,plain,solid,0
casual,average,0.0,XL,winter,v-neck,short,empire,polyster,shiffon,pockets,solid,1
casual,low,5.0,free,summer,o-neck,sleeveless,natural,model,jersey,plain,solid,1
vintage,average,0.0,L,summer,sqare-collor,short,empire,cotton,chiffon,unknown,dot,1
casual,low,4.7,free,winter,o-neck,sleeveless,natural,silk,unknown,unknown,animal,0
vintage,average,5.0,M,summer,v-neck,threequarter,natural,polyster,unknown,unknown,print,0
casual,low,4.7,L,summer,o-neck,full,natural,mix,worsted,lace,patchwork,1
bohemian,average,4.6,M,spring,o-neck,sleeveless,natural,shiffon,shiffon,sashes,solid,0
party,average,4.8,M,summer,o-neck,full,unknown,cotton,unknown,unknown,solid,1
bohemian,low,4.6,free,summer,v-neck,sleeveless,natural,cotton,broadcloth,beading,solid,0
party,very-high,4.6,free,summer,o-neck,sleeveless,empire,rayon,unknown,hollowout,solid,0
cute,low,4.8,M,spring,o-neck,short,natural,shiffon,shiffon,bow,dot,1
vintage,average,0.0,M,spring,o-neck,halfsleeve,empire,polyster,unknown,lace,animal,0
casual,medium,4.9,L,winter,o-neck,short,natural,cotton,broadcloth,sashes,solid,0
casual,average,4.2,free,summer,o-neck,sleeveless,natural,cotton,worsted,unknown,striped,1
casual,average,4.9,M,summer,o-neck,short,dropped,cotton,unknown,ruffles,patchwork,0
bohemian,low,5.0,XL,spring,v-neck,threequarter,natural,unknown,shiffon,unknown,print,1
casual,average,4.7,M,summer,o-neck,sleeveless,unknown,cotton,unknown,unknown,dot,0
casual,average,0.0,free,summer,bowneck,halfsleeve,unknown,cotton,unknown,unknown,unknown,0
casual,average,0.0,free,summer,o-neck,sleeveless,natural,cotton,unknown,lace,floral,0
sexy,medium,0.0,free,winter,o-neck,sleeveless,natural,polyster,unknown,sequined,solid,0
sexy,low,4.4,free,automn,v-neck,sleeveless,natural,cotton,worsted,lace,solid,0
sexy,average,0.0,free,spring,v-neck,full,natural,cotton,wollen,lace,solid,1
brief,average,4.9,XL,spring,slash-neck,full,natural,unknown,unknown,sashes,solid,0
casual,average,4.7,XL,summer,v-neck,halfsleeve,natural,unknown,broadcloth,unknown,print,1
casual,average,0.0,free,automn,v-neck,full,natural,cotton,unknown,lace,solid,0
casual,average,4.8,M,summer,v-neck,full,natural,unknown,shiffon,unknown,unknown,0
casual,medium,4.9,L,spring,sqare-collor,sleeveless,empire,unknown,unknown,unknown,print,0
party,average,4.7,M,spring,o-neck,halfsleeve,empire,unknown,shiffon,unknown,patchwork,0
sexy,low,4.4,free,summer,bowneck,sleeveless,natural,viscos,unknown,bow,solid,0
bohemian,low,4.6,free,winter,o-neck,sleeveless,empire,polyster,unknown,unknown,patchwork,1
casual,low,4.6,free,autumn,o-neck,full,natural,rayon,unknown,lace,solid,1
sexy,low,4.5,free,summer,o-neck,sleeveless,empire,cotton,unknown,sashes,solid,1
sexy,low,0.0,free,winter,v-neck,unknown,dropped,cotton,unknown,lace,unknown,1
casual,average,0.0,XL,spring,bowneck,sleeveless,natural,mix,unknown,lace,solid,0
sexy,average,0.0,free,autumn,o-neck,full,natural,polyster,sattin,hollowout,solid,0
sexy,low,4.8,free,spring,v-neck,sleeveless,natural,unknown,unknown,unknown,striped,1
brief,low,4.7,free,autumn,o-neck,sleeveless,natural,unknown,shiffon,sequined,solid,0
sexy,high,5.0,M,summer,v-neck,sleeveless,natural,mix,unknown,unknown,striped,0
casual,average,4.6,L,summer,bowneck,full,dropped,cotton,unknown,unknown,patchwork,0
cute,medium,4.9,S,summer,bowneck,sleeveless,empire,unknown,unknown,bow,patchwork,1
novelty,average,4.9,M,autumn,o-neck,short,natural,polyster,chiffon,none,print,0
casual,low,4.3,free,spring,o-neck,full,unknown,unknown,chiffon,sashes,none,1
casual,low,4.7,S,autumn,o-neck,sleeveless,natural,cotton,unknown,unknown,solid,0
casual,average,4.8,L,autumn,boat-neck,sleeveless,natural,unknown,unknown,sashes,solid,0
cute,average,4.5,L,winter,v-neck,sleeveless,natural,polyster,jersey,sashes,solid,1
casual,average,4.4,free,summer,o-neck,capsleeves,natural,cotton,unknown,unknown,solid,0
party,average,0.0,M,spring,o-neck,sleeveless,unknown,unknown,chiffon,unknown,solid,1
sexy,low,0.0,free,summer,v-neck,sleeveless,dropped,unknown,unknown,unknown,unknown,1
casual,low,4.8,L,summer,v-neck,threequarter,natural,cotton,unknown,unknown,print,0
work,average,5.0,M,summer,o-neck,sleeveless,natural,unknown,unknown,unknown,solid,1
novelty,average,5.0,free,summer,o-neck,sleeveless,natural,unknown,unknown,unknown,print,0
casual,low,4.6,free,spring,v-neck,sleeveless,natural,silk,chiffon,draped,solid,0
casual,average,4.5,M,summer,o-neck,full,natural,cotton,unknown,lace,solid,0
casual,average,4.5,L,spring,boat-neck,threequarter,natural,unknown,dobby,lace,animal,1
casual,average,4.5,free,autumn,o-neck,halfsleeve,natural,cotton,chiffon,hollowout,solid,1
cute,low,0.0,M,summer,boat-neck,short,unknown,unknown,chiffon,sashes,unknown,0
party,average,4.9,M,winter,o-neck,halfsleeve,unknown,cotton,unknown,lace,unknown,1
casual,average,4.8,M,summer,o-neck,halfsleeve,unknown,unknown,unknown,unknown,unknown,0
casual,low,4.4,L,summer,o-neck,sleeveless,natural,cotton,chiffon,unknown,solid,0
casual,average,4.3,M,winter,slash-neck,sleeveless,natural,polyster,unknown,sashes,solid,0
cute,average,4.7,L,summer,o-neck,sleeveless,natural,polyster,broadcloth,lace,solid,0
sexy,average,0.0,S,summer,v-neck,sleeveless,unknown,unknown,unknown,unknown,unknown,1
casual,low,4.4,free,summer,o-neck,sleeveless,unknown,unknown,unknown,unknown,animal,0
cute,high,4.3,M,spring,boat-neck,full,natural,polyster,terry,lace,solid,1
work,average,4.8,M,winter,turndowncollor,full,natural,unknown,unknown,unknown,solid,0
casual,average,4.6,M,spring,o-neck,halfsleeve,natural,polyster,unknown,lace,solid,0
sexy,low,0.0,free,summer,v-neck,sleeveless,empire,cotton,unknown,unknown,solid,0
casual,high,4.9,XL,winter,v-neck,full,empire,cotton,unknown,sequined,solid,0
sexy,low,0.0,free,winter,o-neck,sleeveless,natural,lycra,chiffon,hollowout,solid,0
cute,average,5.0,M,autumn,v-neck,sleeveless,natural,cotton,unknown,unknown,solid,0
cute,low,0.0,free,spring,v-neck,sleeveless,natural,silk,worsted,lace,patchwork,1
casual,low,4.4,free,summer,o-neck,full,natural,cotton,unknown,pockets,solid,0
casual,average,0.0,L,spring,o-neck,sleeveless,natural,chiffonfabric,chiffon,sequined,solid,0
cute,average,4.7,M,spring,o-neck,full,natural,rayon,chiffon,beading,solid,1
casual,average,4.6,M,winter,v-neck,halfsleeve,natural,silk,chiffon,sashes,solid,1
casual,low,4.4,free,summer,o-neck,full,natural,cotton,unknown,unknown,solid,1
casual,low,5.0,M,automn,o-neck,sleeveless,empire,unknown,chiffon,unknown,print,1
casual,average,0.0,free,winter,o-neck,short,natural,polyster,chiffon,cascading,solid,0
sexy,average,0.0,free,winter,slash-neck,sleeveless,natural,cotton,broadcloth,sequined,solid,1
casual,low,4.4,M,summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,solid,0
cute,average,0.0,L,summer,o-neck,sleeveless,empire,cotton,unknown,lace,solid,1
casual,low,4.8,free,winter,bowneck,full,natural,polyster,chiffon,bow,solid,0
casual,average,5.0,L,summer,o-neck,sleeveless,natural,cotton,unknown,unknown,unknown,1
cute,average,4.6,M,spring,o-neck,halfsleeve,natural,acrylic,chiffon,unknown,unknown,0
bohemian,low,4.6,free,summer,o-neck,sleeveless,natural,cotton,chiffon,none,solid,1
brief,average,4.7,M,winter,o-neck,halfsleeve,natural,acrylic,chiffon,unknown,striped,0
casual,low,4.7,M,spring,o-neck,full,natural,polyster,unknown,unknown,solid,1
sexy,low,4.3,free,summer,o-neck,full,empire,cotton,unknown,unknown,unknown,0
casual,average,4.7,M,summer,v-neck,full,empire,cotton,unknown,lace,solid,1
casual,average,4.6,L,winter,boat-neck,sleeveless,empire,silk,broadcloth,applique,print,1
casual,low,4.4,free,summer,v-neck,short,empire,cotton,Corduroy,lace,solid,0
